sid	cluster	model	bp	tp	n_full	depth	n_tools	centre	order	size_class	n_dom	domains	best_e	max_hmm_cov	has_dom	n_strong	strong_dom	best_cov	min_len	meets_len	tier	n_core	core_dom	core_cov
c01078_single	1078	single	382	LTR/Pao	60.0	20.0	2.0	383.5	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01079_single	1079	single	762	LTR/Pao	17.0	13.0	2.0	760.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01083_single	1083	single	655	LTR	222.0	61.0	3.0	654.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01084_single	1084	single	1838	LTR	39.0	20.0	3.0	1832.0	LTR	1200-2500	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01086_single	1086	single	6905	LTR/Gypsy	8.0	5.0	3.0	6888.0	LTR	>2500 bp	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	8.5e-36	1.0	True	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01089_single	1089	single	9324	LTR/Gypsy	19.0	14.0	3.0	9250.0	LTR	>2500 bp	7	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve	5.7e-41	1.0	True	7	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01090_single	1090	single	1166	LTR/Gypsy	73.0	48.0	2.0	1162.5	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01091_single	1091	single	13342	Unknown	28.0	7.0	2.0	10680.5	Unknown	>2500 bp	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c01092_single	1092	single	8181	LTR/Gypsy	30.0	12.0	3.0	7957.0	LTR	>2500 bp	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.5e-33	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0
c01094_single	1094	single	7221	LTR/Gypsy	13.0	16.0	4.0	7139.0	LTR	>2500 bp	8	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve,rve_3	3.9e-43	1.0	True	8	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0
c01098_single	1098	single	890	DNA/CMC	951.0	73.0	3.0	722.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c01103_single	1103	single	265	LINE/I-Jockey	17395.0	71.0	2.0	266.5	LINE	<300 bp	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c01108_single	1108	single	338	SINE/5S	7424.0	39.0	2.0	322.0	SINE	300-600	0				False	0				False	E · non-autonomous, expected size (SINE)	0		
c01109_single	1109	single	825	PLE	54.0	34.0	2.0	654.0	PLE	600-1200	0				False	0			1200.0	False	F · too short for class (MITE/fragment scale)	0		
c01110_single	1110	single	722	LINE/I-Jockey	2139.0	65.0	3.0	722.0	LINE	600-1200	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c01111_single	1111	single	359	PLE	84.0	60.0	2.0	925.0	PLE	300-600	0				False	0			1200.0	False	F · too short for class (MITE/fragment scale)	0		
c01114_single	1114	single	3467	LINE/I-Jockey	25.0	16.0	2.0	3477.0	LINE	>2500 bp	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	1e-28	0.99	True	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	0.99	2500.0	True	A · autonomous (core domain + class size)	3	Exo_endo_phos,Exo_endo_phos_2,RVT_1	0.99
c01115_single	1115	single	603	LINE/I-Jockey	4388.0	74.0	3.0	460.0	LINE	600-1200	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c01120_single	1120	single	1466	Unknown	246.0	23.0	2.0	1086.0	Unknown	1200-2500	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01121_single	1121	single	480	Unknown	1916.0	72.0	3.0	481.5	Unknown	300-600	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01122_model0_404bp	1122	model0_404bp	399	LTR/Pao	16.0	24.0	2.0	404.5	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01122_model1_6171bp	1122	model1_6171bp	7697	LTR/Pao	16.0	10.0	3.0	6171.0	LTR	>2500 bp	3	Integrase_H2C2,Pao_retrotransp,RVT_1	2.5e-29	0.7796610169491526	True	3	Integrase_H2C2,Pao_retrotransp,RVT_1	0.7796610169491526	4000.0	True	A · autonomous (core domain + class size)	3	Integrase_H2C2,Pao_retrotransp,RVT_1	0.7796610169491526
c01122_single	1122	single	7684						Unknown	>2500 bp	3	Integrase_H2C2,Pao_retrotransp,rve	2.5e-29	0.8983050847457628	True	3	Integrase_H2C2,Pao_retrotransp,rve	0.8983050847457628	2000.0	True	A · autonomous (core domain + class size)	3	Integrase_H2C2,Pao_retrotransp,rve	0.8983050847457628
c01123_single	1123	single	8365	LTR/Gypsy	11.0	10.0	3.0	7757.0	LTR	>2500 bp	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.5e-35	1.0	True	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01125_single	1125	single	1056	RC	135.0	58.0	3.0	1067.0	RC	600-1200	0				False	0			3000.0	False	F · too short for class (MITE/fragment scale)	0		
c01126_single	1126	single	913	Unknown	814.0	63.0	3.0	889.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01127_single	1127	single	448	DNA/CMC	1411.0	24.0	3.0	1133.5	DNA	300-600	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c01128_single	1128	single	13260	LTR	32.0	8.0	3.0	13482.0	LTR	>2500 bp	7	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVP,RVT_1,gag-asp_proteas,rve	4.2e-29	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVP,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01133_single	1133	single	759	LTR	84.0	53.0	1.0	904.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01134_single	1134	single	565	LTR	167.0	54.0	3.0	640.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01136_single	1136	single	497	LTR	167.0	69.0	3.0	497.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01137_single	1137	single	10779	LTR/Gypsy	52.0	54.0	4.0	8247.0	LTR	>2500 bp	1	gag-asp_proteas	2.9e-06	0.967391304347826	True	1	gag-asp_proteas	0.967391304347826	4000.0	True	C · accessory domain only (likely truncated)	0		
c01141_single	1141	single	7065	LTR/Gypsy	11.0	9.0	3.0	5071.0	LTR	>2500 bp	6	Arc_N-lobe,Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	6.7e-41	1.0	True	6	Arc_N-lobe,Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01144_single	1144	single	9145	LTR/Gypsy	10.0	16.0	4.0	9094.0	LTR	>2500 bp	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.3e-39	1.0	True	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01145_single	1145	single	6307	LTR/Gypsy	15.0	5.0	4.0	6277.5	LTR	>2500 bp	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	2.1e-33	1.0	True	3	Integrase_H2C2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	3	Integrase_H2C2,RVT_1,rve	1.0
c01146_single	1146	single	5464	LTR/Pao	28.0	17.0	4.0	5156.5	LTR	>2500 bp	0				False	0			4000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c01149_single	1149	single	988	LTR/Gypsy	41.0	22.0	2.0	988.5	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01152_single	1152	single	6156	LTR/Pao	29.0	12.0	3.0	6166.0	LTR	>2500 bp	3	DUF1759,Integrase_H2C2,rve	2.6e-11	0.864406779661017	True	3	DUF1759,Integrase_H2C2,rve	0.864406779661017	4000.0	True	A · autonomous (core domain + class size)	2	Integrase_H2C2,rve	0.864406779661017
c01161_model0_650bp	1161	model0_650bp	650	SINE/5S	358.0	21.0	2.0	649.5	SINE	600-1200	0				False	0				False	E · non-autonomous, expected size (SINE)	0		
c01161_model1_2936bp	1161	model1_2936bp	2926	SINE/5S	358.0	11.0	3.0	2936.0	SINE	>2500 bp	0				False	0				False	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c01161_single	1161	single	2068						Unknown	1200-2500	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c01162_model0_354bp	1162	model0_354bp	320	LINE/RTE	3991.0	71.0	2.0	353.5	LINE	300-600	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c01162_model1_1751bp	1162	model1_1751bp	1749	LINE/RTE	3991.0	24.0	3.0	1751.0	LINE	1200-2500	0				False	0			2500.0	False	F · too short for class (MITE/fragment scale)	0		
c01162_single	1162	single	316						Unknown	300-600	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01164_single	1164	single	7896	LTR/Pao	22.0	10.0	4.0	7849.5	LTR	>2500 bp	2	DUF1759,Pao_retrotransp	3.6e-17	0.9662162162162162	True	1	DUF1759	0.9662162162162162	4000.0	True	C · accessory domain only (likely truncated)	0		
c01165_single	1165	single	453	LTR	515.0	63.0	2.0	455.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01168_single	1168	single	7049	LTR/Gypsy	25.0	10.0	3.0	7041.0	LTR	>2500 bp	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	6.9e-35	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0
c01169_model0_436bp	1169	model0_436bp	434	LTR/Gypsy	26.0	33.0	2.0	435.5	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01169_model1_5363bp	1169	model1_5363bp	5364	LTR/Gypsy	26.0	3.0	2.0	5363.0	LTR	>2500 bp	7	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVP,RVT_1,rve,rve_3	1.3e-38	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVP,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01169_single	1169	single	5372						Unknown	>2500 bp	4	RT_RNaseH,RT_RNaseH_2,RVP,RVT_1	6.9e-31	0.8613861386138614	True	3	RT_RNaseH,RVP,RVT_1	0.8613861386138614	2000.0	True	A · autonomous (core domain + class size)	2	RT_RNaseH,RVT_1	0.7142857142857143
c01173_single	1173	single	8036	LTR/Gypsy	30.0	24.0	3.0	8508.0	LTR	>2500 bp	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	4.3e-34	1.0	True	6	Integrase_H2C2,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01174_single	1174	single	931	Unknown	446.0	54.0	3.0	900.0	Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01176_single	1176	single	6062	LTR/Pao	8.0	6.0	3.0	7612.0	LTR	>2500 bp	2	Integrase_H2C2,Pao_retrotransp	1.1e-21	0.8983050847457628	True	2	Integrase_H2C2,Pao_retrotransp	0.8983050847457628	4000.0	True	A · autonomous (core domain + class size)	2	Integrase_H2C2,Pao_retrotransp	0.8983050847457628
c01177_single	1177	single	7694	LTR/Pao	10.0	13.0	4.0	7685.0	LTR	>2500 bp	3	DUF1759,Integrase_H2C2,Pao_retrotransp	1.7e-49	1.0	True	3	DUF1759,Integrase_H2C2,Pao_retrotransp	1.0	4000.0	True	A · autonomous (core domain + class size)	2	Integrase_H2C2,Pao_retrotransp	1.0
c01180_model0_914bp	1180	model0_914bp	911	LTR/Pao	14.0	11.0	2.0	914.5	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01180_model1_5136bp	1180	model1_5136bp	5134	LTR/Pao	14.0	4.0	2.0	5136.5	LTR	>2500 bp	1	DUF1759	6.1e-09	0.7702702702702703	True	1	DUF1759	0.7702702702702703	4000.0	True	C · accessory domain only (likely truncated)	0		
c01180_single	1180	single	5204						Unknown	>2500 bp	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c01182_single	1182	single	3638	LINE/R2	92.0	11.0	3.0	3256.0	LINE	>2500 bp	2	RVT_1,zf-RVT	1.8e-26	0.97	True	2	RVT_1,zf-RVT	0.97	2500.0	True	A · autonomous (core domain + class size)	2	RVT_1,zf-RVT	0.97
c01183_model0_418bp	1183	model0_418bp	426	LTR/Gypsy	113.0	49.0	2.0	418.5	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01183_model1_7363bp	1183	model1_7363bp	7372	LTR/Gypsy	113.0	69.0	4.0	7363.0	LTR	>2500 bp	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	9.7e-35	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0
c01183_single	1183	single	426						Unknown	300-600	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01184_single	1184	single	7687	LTR/Pao	9.0	16.0	4.0	7663.5	LTR	>2500 bp	3	Integrase_H2C2,Pao_retrotransp,RVT_1	1e-09	0.9152542372881356	True	1	Integrase_H2C2	0.9152542372881356	4000.0	True	A · autonomous (core domain + class size)	1	Integrase_H2C2	0.9152542372881356
c01185_model0_642bp	1185	model0_642bp	636	LTR	55.0	32.0	2.0	641.5	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01185_model1_5844bp	1185	model1_5844bp	6503	LTR	55.0	33.0	3.0	5844.5	LTR	>2500 bp	1	RVP	8.8e-06	0.6534653465346535	True	1	RVP	0.6534653465346535	4000.0	True	C · accessory domain only (likely truncated)	0		
c01185_single	1185	single	6505						Unknown	>2500 bp	1	RVP	8.8e-06	0.6534653465346535	True	1	RVP	0.6534653465346535	2000.0	True	C · accessory domain only (likely truncated)	0		
c01191_model0_976bp	1191	model0_976bp	970	LTR/Gypsy	14.0	14.0	2.0	976.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01191_model1_7598bp	1191	model1_7598bp	8384	LTR/Gypsy	14.0	11.0	4.0	7597.5	LTR	>2500 bp	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	4e-28	1.0	True	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01191_single	1191	single	8388						Unknown	>2500 bp	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve	2.2e-32	1.0	True	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,gag-asp_proteas,rve	1.0	2000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01193_single	1193	single	737	DNA/TcMar	2582.0	37.0	1.0	634.0	DNA	600-1200	0				False	0			1500.0	False	F · too short for class (MITE/fragment scale)	0		
c01195_model0_318bp	1195	model0_318bp	319	Unknown	614.0	60.0	2.0	318.5	Unknown	300-600	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01195_model1_3573bp	1195	model1_3573bp	4116	Unknown	614.0	27.0	3.0	3573.0	Unknown	>2500 bp	0				False	0			2000.0	True	D · oversized for class, NO domain (suspect: chimera/rDNA)	0		
c01195_single	1195	single	319						Unknown	300-600	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01196_single	1196	single	4487	LTR/Copia	24.0	29.0	4.0	4314.0	LTR	>2500 bp	5	RVT_2,Retrotran_gag_2,SH3_retrovirus,gag_pre-integrs,rve	1.9e-72	0.9552238805970149	True	5	RVT_2,Retrotran_gag_2,SH3_retrovirus,gag_pre-integrs,rve	0.9552238805970149	4000.0	True	A · autonomous (core domain + class size)	2	RVT_2,rve	0.9509803921568627
c01198_single	1198	single	5485	LTR/Gypsy	30.0	13.0	4.0	5242.0	LTR	>2500 bp	9	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,gag-asp_proteas	5.4e-36	1.0	True	9	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,gag-asp_proteas	1.0	4000.0	True	A · autonomous (core domain + class size)	4	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1	1.0
c01199_single	1199	single	7481	LTR/Pao	32.0	9.0	4.0	7115.0	LTR	>2500 bp	3	Integrase_H2C2,Pao_retrotransp,rve	8.4e-42	0.9444444444444444	True	3	Integrase_H2C2,Pao_retrotransp,rve	0.9444444444444444	4000.0	True	A · autonomous (core domain + class size)	3	Integrase_H2C2,Pao_retrotransp,rve	0.9444444444444444
c01200_single	1200	single	487	LTR/Gypsy	2775.0	67.0	3.0	488.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01201_model0_889bp	1201	model0_889bp	890	LTR/Gypsy	35.0	29.0	2.0	889.0	LTR	600-1200	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01201_model1_6150bp	1201	model1_6150bp	7056	LTR/Gypsy	35.0	7.0	3.0	6150.5	LTR	>2500 bp	8	Integrase_H2C2,PEG10_N-capsid,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.2e-39	1.0	True	8	Integrase_H2C2,PEG10_N-capsid,PNMA_C,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0	4000.0	True	A · autonomous (core domain + class size)	6	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve,rve_3	1.0
c01201_single	1201	single	890						Unknown	600-1200	0				False	0			2000.0	False	F · too short for class (MITE/fragment scale)	0		
c01203_model0_423bp	1203	model0_423bp	420	LTR/Gypsy	67.0	53.0	2.0	423.0	LTR	300-600	0				False	0			4000.0	False	F · too short for class (MITE/fragment scale)	0		
c01203_model1_5207bp	1203	model1_5207bp	6010	LTR/Gypsy	67.0	34.0	4.0	5207.0	LTR	>2500 bp	9	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,rve	6.8e-38	1.0	True	9	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,rve	1.0	4000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
c01203_single	1203	single	5220						Unknown	>2500 bp	10	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,gag-asp_proteas,rve	1.2e-40	1.0	True	10	Integrase_H2C2,PEG10-RTL1_C-capsid,PEG10_N-capsid,RTL1-8_LDOC,RT_RNaseH,RT_RNaseH_2,RVT_1,Ty3_capsid,gag-asp_proteas,rve	1.0	2000.0	True	A · autonomous (core domain + class size)	5	Integrase_H2C2,RT_RNaseH,RT_RNaseH_2,RVT_1,rve	1.0
