# hit ID  target name         accession  query name           accession   hmm len  hmm from    hmm to   seq len  ali from    ali to    E-value  score  bias   PID  description of target
#------- ------------------- ---------- -------------------- ---------- --------- --------- --------- --------- --------- ---------  --------- ------ ----- ----- ---------------------
       2 c01203_single        -          PEG10_N-capsid       PF03732.25       79         4        68       5220       693       902   6.2e-09   33.3   0.0 18.57 -
       3 c00084_single        -          PEG10_N-capsid       PF03732.25       79         4        77       4434       278       502   6.4e-09   33.2   0.0 13.33 -
       4 c01203_model1_5207bp -          PEG10_N-capsid       PF03732.25       79         4        77       6010      5514      5738   6.4e-09   33.2   0.0 13.33 -
       5 c01203_model1_5207bp -          PEG10_N-capsid       PF03732.25       79         4        75       6010       714       935   1.1e-07   29.3   0.0 16.88 -
       6 c01201_model1_6150bp -          PEG10_N-capsid       PF03732.25       79         3        60       7056      5868      5686   7.1e-07   26.7   0.0 24.59 -
       1 c00897_single        -          PNMA_C               PF14893.13      161         1       161       8632      1941      2411   1.6e-27   92.6   0.0 32.92 -
       2 c00264_single        -          PNMA_C               PF14893.13      161         1       161       7735      2147      2617   3.9e-25   84.8   0.0 29.19 -
       3 c01144_single        -          PNMA_C               PF14893.13      161         1       161       9145      7002      6532   1.7e-22   76.3   0.0 29.81 -
       4 c01089_single        -          PNMA_C               PF14893.13      161         2       161       9324      2261      2728   5.5e-19   64.8   0.0 28.12 -
       5 c01201_model1_6150bp -          PNMA_C               PF14893.13      161         1       148       7056      5856      5419   6.6e-12   41.8   0.1 21.62 -
       6 c01094_single        -          PNMA_C               PF14893.13      161         9       135       7221      1318      1692   1.2e-09   34.4   0.0 24.41 -
       7 c01173_single        -          PNMA_C               PF14893.13      161        15       158       8036      1636      2061   1.2e-08   31.3   0.1 20.14 -
       1 c01203_model1_5207bp -          RTL1-8_LDOC          PF16297.12      112        24       104       6010      5502      5744   7.9e-16   55.0   0.0 28.40 -
       2 c00084_single        -          RTL1-8_LDOC          PF16297.12      112        24       104       4434       266       508     8e-16   55.0   0.0 28.40 -
       3 c01203_single        -          RTL1-8_LDOC          PF16297.12      112        14       104       5220       651       926   3.4e-15   53.0   0.0 28.26 -
       4 c01198_single        -          RTL1-8_LDOC          PF16297.12      112        20       105       5485       802      1059   1.8e-14   50.6   0.0 29.07 -
       5 c01203_model1_5207bp -          RTL1-8_LDOC          PF16297.12      112        14       104       6010       672       947   1.6e-13   47.6   0.0 26.09 -
       1 c01141_single        -          Arc_N-lobe           PF21395.3        62         3        58       7065      5157      4990     8e-07   26.9   0.6 30.36 -
       1 c01198_single        -          PEG10-RTL1_C-capsid  PF30901.1        75         1        75       5485      1078      1302   2.3e-34  114.8   0.0 61.33 -
       2 c00084_single        -          PEG10-RTL1_C-capsid  PF30901.1        75         1        75       4434       530       754   4.3e-32  107.6   0.5 60.00 -
       3 c01203_model1_5207bp -          PEG10-RTL1_C-capsid  PF30901.1        75         1        75       6010      5766      5990   4.3e-32  107.6   0.5 60.00 -
       4 c01203_model1_5207bp -          PEG10-RTL1_C-capsid  PF30901.1        75         1        75       6010       969      1193   1.1e-31  106.2   0.1 65.33 -
       5 c01203_single        -          PEG10-RTL1_C-capsid  PF30901.1        75         1        75       5220       948      1172   2.1e-31  105.3   0.1 64.00 -
#
# Program:         bathsearch
# Query file:      /Users/clementgoubert/Documents/TE-Aid/dev-data/protein-cache/07532cf00f976128/pfam.bhmm
# Target file:     all_consensi.fa
# Option settings: bathsearch -o /dev/null --tblout domains.tbl -E 1e-5 --cpu 8 /Users/clementgoubert/Documents/TE-Aid/dev-data/protein-cache/07532cf00f976128/pfam.bhmm all_consensi.fa 
# Current dir:     /Users/clementgoubert/.claude-science/orgs/60cf10d4-bf17-4c57-ace6-3e4b45b6365b/workspaces/3e9f145a-8a44-4221-bc66-d70200f7768e
# Date:            Wed Aug 26 20:39:02 2026
# [ok]
